0,1,2,3,4
Fruits Basket,Fruits Basket 2nd Season,Kami nomi zo Shiru Sekai: Tenri-hen,A-Channel,Doraemon Movie 10: Nobita no Nippon Tanjou
Devilman: Yochou Sirene-hen,Yonimo Osoroshii Nihon Mukashibanashi,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,Kimetsu no Yaiba,Fake
Mushishi,Mushishi Zoku Shou 2nd Season,Mushishi Zoku Shou: Odoro no Michi,Mushishi: Hihamukage,Koneko no Chi: Ponponra Dairyokou
Cike Wu Liuqi,Bobobo-bo Bo-bobo Recap,Bakutou Sengen Daigunder,Major S1,"Okoshiyasu, Chitose-chan"
Bakutou Sengen Daigunder,Tenshi no 3P!,Cike Wu Liuqi,Mushoku Tensei: Isekai Ittara Honki Dasu,Bobobo-bo Bo-bobo Recap
Ganbare Genki,Mushoku Tensei: Isekai Ittara Honki Dasu,Mahou no Star Magical Emi,Kaze Tachinu,Biohazard: Vendetta
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Violet Evergarden,Quanzhi Gaoshou 2,Love Live! School Idol Project 2nd Season,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou
Code Geass: Hangyaku no Lelouch I - Koudou,Code Geass: Hangyaku no Lelouch III - Oudou,Code Geass: Hangyaku no Lelouch R2,Code Geass: Hangyaku no Lelouch II - Handou,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu
Haikyuu!!: To the Top,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyuu!!,Haikyuu!!: Lev Genzan!,Yowamushi Pedal Movie
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Star Night Snow,Sankarea,Gakuen Utopia Manabi Straight!,Seitokai Yakuindomo
Yao Shen Ji,Candy Candy: Haru no Yobigoe,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",Mo Dao Zu Shi 2nd Season,Hi no Tori
Tsubasa to Hotaru,White Album 2 Picture Drama,Black Fox,Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue,Koe no Katachi
Mushishi Zoku Shou,Mushishi Zoku Shou: Odoro no Michi,Cyborg 009,Wan Jie Shen Zhu,Bosco Daibouken
Zoku Natsume Yuujinchou,Natsume Yuujinchou San,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Natsume Yuujinchou,Natsume Yuujinchou Roku
School Days,Mushoku Tensei: Isekai Ittara Honki Dasu,Cike Wu Liuqi,Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,The iDOLM@STER Shiny Festa
Hakugin,Mirai Nikki: Redial,Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,Concrete Revolutio: Choujin Gensou - The Last Song,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi
Ashita no Joe,Ashita no Joe 2 (Movie),Witch Craft Works Specials,Mushoku Tensei: Isekai Ittara Honki Dasu,Cike Wu Liuqi
Hajime no Ippo: Champion Road,Hajime no Ippo: Rising,Hajime no Ippo: Mashiba vs. Kimura,Tsubasa to Hotaru,Hokuto no Ken
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",Inuyashiki,Bloodivores,Choujin Locke,Chiisana Ojisan
Suzumiya Haruhi no Yuuutsu,Shinkai,Suzumiya Haruhi-chan no Yuuutsu,Hyouka,Egao no Orquesta!
Zoku Natsume Yuujinchou,Natsume Yuujinchou San,Natsume Yuujinchou,Natsume Yuujinchou Shi,Yousei Florence
Redline Pilot,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,Young Black Jack,Dramaturgy,Galo Sengen
Violet Evergarden Movie,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Uchuujin Tanaka Tarou,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!
Slow Start,Mainichi Kaasan,Ake-Vono,Hug tto! Precure,Hanayamata
Yowamushi Pedal: Re:RIDE,Ike! Ina-chuu Takkyuubu,Kyou kara Ore wa!!,Tennis no Ouji-sama,Maoyuu Maou Yuusha
Wasureta Furi wo Shite,Hakumei to Mikochi,Marginal Prince: Gekkeiju no Ouji-tachi,Nobunaga no Shinobi,Backkom Mission Impossible
Death Note: Rewrite,Soul Eater,Kite Liberator,Shinigami no Ballad.,Wan Jie Shen Zhu
Seikimatsu Occult Gakuin Specials,Princess Princess,Hitori no Shita: The Outcast,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,Mushishi Zoku Shou
Cike Wu Liuqi,Shingeki no Kyojin,School Days,Mushoku Tensei: Isekai Ittara Honki Dasu,Bakutou Sengen Daigunder
Kizumonogatari III: Reiketsu-hen,Di Gi Charat: Kuchi Kara Bazooka,Tsukimonogatari,Sirius,No Game No Life: Zero
Choujin Locke,Futatsu no Kurumi,91 Days,Saiki Kusuo no Ψ-nan 2,Kekkai Sensen
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",Tsubasa to Hotaru,Mahou no Star Magical Emi,Omamori Himari,Nekopara OVA
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Mushoku Tensei: Isekai Ittara Honki Dasu,Cike Wu Liuqi,Bakutou Sengen Daigunder,Harukanaru Toki no Naka de: Maihitoyo
Mushoku Tensei: Isekai Ittara Honki Dasu,Aoi Bungaku Series,Bakutou Sengen Daigunder,Tensei shitara Slime Datta Ken,Mirai no Mirai
Natsume Yuujinchou Go Specials,Tales of Zestiria: Doushi no Yoake,Ichirin-sha,Monster Strike: Zoku Saishuu-banashi - Pandora no Hako,Osomatsu-san 2nd Season
Zoku Natsume Yuujinchou,Natsume Yuujinchou Roku,Natsume Yuujinchou Shi,Natsume Yuujinchou,Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night: Unlimited Blade Works,Fate/stay night,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Fate/Apocrypha,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/Zero,Fate/stay night: Unlimited Blade Works
Hajime no Ippo: Champion Road,Hajime no Ippo,Hajime no Ippo: New Challenger,Cike Wu Liuqi,Hajime no Ippo: Mashiba vs. Kimura
Tsubasa to Hotaru,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,Busou Shoujo Machiavellianism,School Days,Mirai no Mirai
Bakuman. 2nd Season,Dororo to Hyakkimaru,Kami nomi zo Shiru Sekai II,Senyuu. 2,Asura Cryin' 2
Mushishi Zoku Shou,Mushishi Zoku Shou 2nd Season,Mushishi Zoku Shou: Odoro no Michi,Mushishi,Mushi-Uta
Ling Long: Incarnation,Pokemon Movie 18: Ring no Choumajin Hoopa,Terra e... (TV),Ghiblies,Mushrambo
Gowapper 5 Gordam,Yuru Camp△,Tamayura: More Aggressive,Free!: Eternal Summer,Minami no Niji no Lucy
One Punch Man: Road to Hero,Bakuman.,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",To Be Hero
Last Exile: Ginyoku no Fam - Adjournment,Kyou no 5 no 2,Sasameki Koto,Hige wo Soru. Soshite Joshikousei wo Hirou.,Future Card Buddyfight Recap
Natsume Yuujinchou Roku,Natsume Yuujinchou San,Natsume Yuujinchou Shi,Natsume Yuujinchou,Nurarihyon no Mago
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyuu!! Second Season,Aoki Densetsu Shoot!,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!,Ookiku Furikabutte: Natsu no Taikai-hen
Cardfight!! Vanguard G: Next,Mushi-Uta,Freezing,Shinmai Maou no Testament Departures: Maria no Hizou Eizou,Ixion Saga DT
Kara no Kyoukai 7: Satsujin Kousatsu (Go),Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Kamisama Hajimemashita: Kako-hen,Kara no Kyoukai: Mirai Fukuin,Hanaukyou Maid-tai: La Verite
Fruits Basket 1st Season,Fruits Basket,Ai no Wakakusa Yama Monogatari,Love Hina Final Selection,Chiisana Jumbo
Koukaku Kidoutai: Stand Alone Complex,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Vexille: 2077 Nihon Sakoku,Koukaku Kidoutai: SAC_2045,Zipang
Weiß Survive,Great Teacher Onizuka,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),A Day Before Us,Ansatsu Kyoushitsu
Gintama°,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Nisoku Hokou,Major S6,Hachimitsu to Clover II
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,One Piece Film: Strong World,One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,Magi: Sinbad no Bouken (TV),Cike Wu Liuqi
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,Neon Genesis Evangelion,Potemayo Specials,Working!!!: Lord of the Takanashi,Gebäude Bäude
School Days,Cike Wu Liuqi,Mushoku Tensei: Isekai Ittara Honki Dasu,Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,Tenshi no 3P!
Cike Wu Liuqi,Bakutou Sengen Daigunder,Mushoku Tensei: Isekai Ittara Honki Dasu,Nanatsu no Taizai: Kamigami no Gekirin,Kenritsu Chikyuu Boueigun
Aria the Natural,Aria the Animation,Aria the OVA: Arietta,Aria the Avvenire,Hataraki Man
Gintama°,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama.,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Gintama': Enchousen
Gintama°,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Aria the Origination,Gintama': Enchousen,Gintama.: Porori-hen
Haikara-san ga Tooru,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Diamond no Ace: Act II,Sekai Seifuku: Bouryaku no Zvezda,Detective Conan Movie 01: The Timed Skyscraper
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,Major S3,Diamond no Ace,Tsurune: Kazemai Koukou Kyuudoubu,Bakukyuu Renpatsu!! Super B-Daman
Choujuu Kishin Dancougar,Ashita Sekai ga Owaru toshitemo,Hotaru Kagayaku,Bikkuriman,Ayakashi
Yonimo Osoroshii Nihon Mukashibanashi,Mobile Suit Victory Gundam,Gensoumaden Saiyuuki,Endro~!,Devilman: Yochou Sirene-hen
Hana no Ko Lunlun: Konnichiwa Sakura no Kuni,Gin no Saji,Sister Princess: Re Pure,Tokkou,Ozanari Dungeon: Kaze no Tou
Cike Wu Liuqi,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,School Days,Bakutou Sengen Daigunder,Mushoku Tensei: Isekai Ittara Honki Dasu
Mutsugo to Ouma no Monogatari,Afro Samurai Movie,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no Ja!",Gamba: Gamba to Nakama-tachi,Yoiko no Rekishi Anime: Ookina Kabu (Kabu)
Shingeki no Kyojin Season 2,Shingeki no Kyojin Season 3,Shingeki! Kyojin Chuugakkou,Shiyan Pin Jiating,Kamisama Kazoku
Misute♡naide Daisy,Aldnoah.Zero Extra Archives,Saa Ikou! Tamagotchi,Di Gi Charat Ohanami Special,Detective Conan: Black History 2
Cyborg 009: Call of Justice 1,Sakurada Reset,Inazuma Eleven Go: Chrono Stone,Marie & Gali,Fushigi Mahou Fun Fun Pharmacy
Berserk: Ougon Jidai-hen III - Kourin,Mushoku Tensei: Isekai Ittara Honki Dasu,Berserk: Ougon Jidai-hen I - Haou no Tamago,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Cike Wu Liuqi
Mo Dao Zu Shi 2nd Season,Mo Dao Zu Shi Q,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",Mushoku Tensei: Isekai Ittara Honki Dasu,Candy Candy: Haru no Yobigoe
"Natsu-iro Egao de 1, 2, Jump!",Jinrui wa Suitai Shimashita,IDOLiSH7: Second Beat!,Amagi Brilliant Park,Key the Metal Idol
Steins;Gate 0,Toaru Majutsu no Index-tan III,Triangle Heart: Sweet Songs Forever,Abenobashi Mahou☆Shoutengai,Kaze Tachinu
Nisemonogatari,Kizumonogatari I: Tekketsu-hen,Junod,Kizumonogatari III: Reiketsu-hen,Zegapain
Cike Wu Liuqi,Bakutou Sengen Daigunder,Mushoku Tensei: Isekai Ittara Honki Dasu,School Days,Biohazard: Vendetta
Mob Psycho 100 II,Cike Wu Liuqi,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,Mokei Senshi Gunpla Builders Beginning G,Mushoku Tensei: Isekai Ittara Honki Dasu
Konbini Kareshi,Bamboo Bears,Hidamari Sketch,Hakumei to Mikochi,Gakkougurashi!
Re:Zero kara Hajimeru Isekai Seikatsu,Houkago Saikoro Club,Nisoku Hokou,Muteki-kyuu*Believer / Mirai Harmony,Uchuu Senkan Tiramisù
Saenai Heroine no Sodatekata ♭,Ranma ½: Akumu! Shunmin Kou,Saint Seiya: Soul of Gold,Clannad Movie,Memories Off
